id,symbol,side,pattern,signal,setup,aoi_kind,trend,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,planned_rr,entry_cash,entry_equity,margin,notional,pnl,pnl_pct,account_pct,margin_return_pct,exit_reason,score
88,AUDUSD=X,long,alexg5|AUDUSD|JPY>CAD|bullish|bounce|support|rejection|JPY:+0.0045|AUD:+0.0017|CHF:+0.0015|NZD:+0.0013|g:3409:0.65903068:0.65750790:0.66207623,rejection,bounce,support,bullish,3410,3411,2024-04-05 01:00:00+00:00,2024-04-05 02:00:00+00:00,0.6575078964233398,0.6573763948440552,0.6573763948440552,0.6580279253959656,3.9545,1348.3771,1348.3771,13.4838,67418.8528,-13.4838,-0.00019999999999997892,-0.01,-1.0,margin_stop,3.954545454545454
89,GBPUSD=X,long,alexg5|GBPUSD|NZD>USD|bullish|bounce|support|rejection|NZD:+0.0050|AUD:+0.0030|GBP:+0.0015|CHF:+0.0015|g:3446:1.26774848:1.26616144:1.27092254,rejection,bounce,support,bullish,3456,3457,2024-04-10 12:00:00+00:00,2024-04-10 13:00:00+00:00,1.2661614418029785,1.265908209514618,1.265908209514618,1.267174370956421,4.0,1334.8933,1334.8933,13.3489,66744.6643,-13.3489,-0.00020000000000000757,-0.01,-1.0,margin_stop,4.0
90,USDCHF=X,short,alexg5|USDCHF|NZD>USD|bearish|continuation|support|momentum|NZD:+0.0052|AUD:+0.0048|CAD:+0.0021|EUR:+0.0021|g:3422:0.90445000:0.90620447:0.89972001,momentum,continuation,support,bearish,3450,3451,2024-04-10 12:00:00+00:00,2024-04-10 13:00:00+00:00,0.9062044711709023,0.9063857120651365,0.9063857120651365,0.9054795075939654,4.0,1321.5444,1334.8933,13.2154,66077.2176,-13.2154,-0.0002000000000000366,-0.01,-1.0,margin_stop,4.0
91,AUDUSD=X,short,alexg5|AUDUSD|USD>NZD|bearish|bounce|resistance|bearish_engulfing|USD:+0.0116|JPY:-0.0002|EUR:-0.0049|GBP:-0.0056|g:3515:0.65237957:0.65448958:0.64815956,bearish_engulfing,bounce,resistance,bearish,3516,3517,2024-04-11 12:00:00+00:00,2024-04-11 13:00:00+00:00,0.6544895768165588,0.6546204747319221,0.6546204747319221,0.6539540853446183,4.0909,1308.3289,1308.3289,13.0833,65416.4454,-13.0833,-0.0001999999999999031,-0.01,-1.0,margin_stop,4.090909090909091
92,EURGBP=X,long,alexg5|EURGBP|EUR>JPY|bullish|bounce|support|bullish_engulfing|EUR:+0.0019|GBP:+0.0017|CHF:+0.0010|USD:+0.0008|g:3532:0.85385001:0.85219614:0.85750002,bullish_engulfing,bounce,support,bullish,3575,3576,2024-04-17 06:00:00+00:00,2024-04-17 07:00:00+00:00,0.8521961435079575,0.8529011421357683,0.852025704279256,0.8529011421357683,4.1364,1295.2456,1295.2456,12.9525,64762.281,53.5761,0.0008272727272723602,0.04136363636361801,4.136363636361801,take_profit,4.136363636363637
93,GBPUSD=X,short,alexg5|GBPUSD|CAD>GBP|bearish|continuation|support|bearish_engulfing|CAD:+0.0012|USD:+0.0009|JPY:+0.0008|AUD:+0.0003|g:3659:1.23487282:1.23727286:1.23007274,bearish_engulfing,continuation,support,bearish,3666,3667,2024-04-23 08:00:00+00:00,2024-04-23 09:00:00+00:00,1.23727285861969,1.2362830403327942,1.2375203131914139,1.2362830403327942,4.0,1348.8217,1348.8217,13.4882,67441.0844,53.9529,0.0007999999999999621,0.039999999999998107,3.9999999999998104,take_profit,4.0
94,GBPUSD=X,long,alexg5|GBPUSD|GBP>JPY|bullish|continuation|resistance|momentum|GBP:+0.0050|AUD:+0.0032|EUR:+0.0028|NZD:+0.0028|g:3722:1.25147045:1.24835396:1.25770342,momentum,continuation,resistance,bullish,3744,3745,2024-04-26 14:00:00+00:00,2024-04-26 15:00:00+00:00,1.2483539581298828,1.2481042873382568,1.2481042873382568,1.2493214324474335,3.875,1402.7746,1402.7746,14.0277,70138.7278,-14.0277,-0.00019999999999999204,-0.01,-1.0,margin_stop,3.875
95,EURUSD=X,short,alexg5|EURUSD|AUD>EUR|bearish|continuation|support|momentum|AUD:+0.0032|NZD:+0.0028|JPY:+0.0025|GBP:+0.0011|g:3766:1.07054925:1.07243365:1.06678045,momentum,continuation,support,bearish,3770,3771,2024-04-29 16:00:00+00:00,2024-04-29 17:00:00+00:00,1.0724336504936218,1.0726481372237204,1.0726481372237204,1.0715935774674024,3.9167,1388.7468,1388.7468,13.8875,69437.3405,-13.8875,-0.00019999999999989002,-0.01,-1.0,margin_stop,3.916666666666667
96,GBPUSD=X,short,alexg5|GBPUSD|USD>NZD|bearish|continuation|support|momentum|USD:+0.0094|EUR:+0.0006|GBP:-0.0002|JPY:-0.0073|g:3797:1.24959385:1.25159389:1.24559379,momentum,continuation,support,bearish,3820,3821,2024-05-01 18:00:00+00:00,2024-05-01 19:00:00+00:00,1.2515938878059387,1.2518442065834998,1.2518442065834998,1.2506030426447594,3.9583,1374.8593,1374.8593,13.7486,68742.9671,-13.7486,-0.00019999999999992848,-0.01,-1.0,margin_stop,3.958333333333333
97,GBPJPY=X,short,alexg5|GBPJPY|JPY>USD|bearish|continuation|support|momentum|JPY:+0.0130|CHF:+0.0073|AUD:+0.0065|NZD:+0.0059|g:3850:192.20300293:192.72650146:191.15600586,momentum,continuation,support,bearish,3874,3875,2024-05-05 23:00:00+00:00,2024-05-06 00:00:00+00:00,192.72650146484375,192.7650467651367,192.7650467651367,192.57232026367194,4.0,1361.1107,1361.1107,13.6111,68055.5374,-13.6111,-0.00019999999999991482,-0.01,-1.0,margin_stop,4.0
98,USDJPY=X,long,alexg5|USDJPY|GBP>JPY|bullish|continuation|resistance|momentum|GBP:+0.0025|AUD:+0.0021|CAD:+0.0017|EUR:+0.0016|g:3875:154.23899841:153.93399811:154.84899902,momentum,continuation,resistance,bullish,3876,3877,2024-05-07 00:00:00+00:00,2024-05-07 01:00:00+00:00,153.93399810791016,153.90321130828858,153.90321130828858,154.05842808971406,4.0417,1347.4996,1347.4996,13.475,67374.9821,-13.475,-0.00019999999999998995,-0.01,-1.0,margin_stop,4.041666666666666
