rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,require_ghost_sl_entry,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity
60,bias=off|trend1|pat0|ret1|ghost1|sess=all,off,True,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
61,bias=off|trend1|pat1|ret0|ghost0|sess=asia,off,True,True,False,False,asia,159,0.264151,0.00012,0.00058,1.051452,10001.2
62,bias=off|trend1|pat1|ret0|ghost0|sess=london,off,True,True,False,False,london,133,0.210526,-0.00042,0.000517,0.799979,9995.8
63,bias=off|trend1|pat1|ret0|ghost0|sess=newyork,off,True,True,False,False,newyork,127,0.283465,0.00026,0.000416,1.142813,10002.6
64,bias=off|trend1|pat1|ret0|ghost0|sess=overlap,off,True,True,False,False,overlap,71,0.239437,-0.0001,0.000417,0.907371,9999.0
65,bias=off|trend1|pat1|ret0|ghost0|sess=all,off,True,True,False,False,all,276,0.293478,0.000677,0.000695,1.173631,10006.77
66,bias=off|trend1|pat1|ret0|ghost1|sess=asia,off,True,True,False,True,asia,75,0.253333,2e-05,0.000404,1.017816,10000.2
67,bias=off|trend1|pat1|ret0|ghost1|sess=london,off,True,True,False,True,london,71,0.295775,0.00026,0.000475,1.259944,10002.6
68,bias=off|trend1|pat1|ret0|ghost1|sess=newyork,off,True,True,False,True,newyork,56,0.196429,-0.00024,0.000276,0.733302,9997.6
69,bias=off|trend1|pat1|ret0|ghost1|sess=overlap,off,True,True,False,True,overlap,34,0.205882,-0.00012,0.000294,0.77774,9998.8
70,bias=off|trend1|pat1|ret0|ghost1|sess=all,off,True,True,False,True,all,116,0.336207,0.0008,0.000591,1.519384,10008.0
71,bias=off|trend1|pat1|ret1|ghost0|sess=asia,off,True,True,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
72,bias=off|trend1|pat1|ret1|ghost0|sess=london,off,True,True,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
73,bias=off|trend1|pat1|ret1|ghost0|sess=newyork,off,True,True,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
74,bias=off|trend1|pat1|ret1|ghost0|sess=overlap,off,True,True,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
75,bias=off|trend1|pat1|ret1|ghost0|sess=all,off,True,True,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
76,bias=off|trend1|pat1|ret1|ghost1|sess=asia,off,True,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
77,bias=off|trend1|pat1|ret1|ghost1|sess=london,off,True,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
78,bias=off|trend1|pat1|ret1|ghost1|sess=newyork,off,True,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
79,bias=off|trend1|pat1|ret1|ghost1|sess=overlap,off,True,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
80,bias=off|trend1|pat1|ret1|ghost1|sess=all,off,True,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
81,bias=pair|trend0|pat0|ret0|ghost0|sess=asia,pair,False,False,False,False,asia,266,0.274436,0.000408,0.000738,1.106195,10004.08
82,bias=pair|trend0|pat0|ret0|ghost0|sess=london,pair,False,False,False,False,london,296,0.216216,-0.000862,0.001499,0.813494,9991.38
83,bias=pair|trend0|pat0|ret0|ghost0|sess=newyork,pair,False,False,False,False,newyork,272,0.246324,-0.000313,0.000928,0.923592,9996.87
84,bias=pair|trend0|pat0|ret0|ghost0|sess=overlap,pair,False,False,False,False,overlap,200,0.245,-0.000168,0.00172,0.943633,9998.32
85,bias=pair|trend0|pat0|ret0|ghost0|sess=all,pair,False,False,False,False,all,370,0.235135,-0.000539,0.000897,0.904522,9994.61
86,bias=pair|trend0|pat0|ret0|ghost1|sess=asia,pair,False,False,False,True,asia,125,0.232,-0.000236,0.000433,0.877206,9997.64
87,bias=pair|trend0|pat0|ret0|ghost1|sess=london,pair,False,False,False,True,london,148,0.290541,0.00048,0.000468,1.228531,10004.8
