rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity,rank_pf
45,bias=pair|trend0|pat0|ret0|sess=all,pair,False,False,False,all,370,0.235,-0.001,0.0,0.905,0.0,69
114,bias=weekly|trend1|pat1|ret0|sess=overlap,weekly,True,True,False,overlap,26,0.230769,-4e-05,0.00037,0.899962,9999.6,70
172,bias=4h|trend0|pat1|ret0|sess=london,4h,False,True,False,london,145,0.227586,-0.00024,0.00138,0.891707,9997.6,71
115,bias=weekly|trend1|pat1|ret0|sess=all,weekly,True,True,False,all,118,0.237288,-0.0002,0.000638,0.888856,9998.0,72
135,bias=daily|trend0|pat1|ret0|sess=all,daily,False,True,False,all,284,0.232394,-0.000482,0.001663,0.888831,9995.18,73
152,bias=daily|trend1|pat1|ret0|sess=london,daily,True,True,False,london,71,0.225352,-0.000121,0.001054,0.888335,9998.79,74
101,bias=weekly|trend1|pat0|ret0|sess=asia,weekly,True,False,False,asia,164,0.22561,-0.000282,0.001019,0.8871,9997.18,75
142,bias=daily|trend1|pat0|ret0|sess=london,daily,True,False,False,london,199,0.231156,-0.00038,0.001098,0.875806,9996.2,76
154,bias=daily|trend1|pat1|ret0|sess=overlap,daily,True,True,False,overlap,31,0.225806,-6e-05,0.000359,0.874963,9999.4,77
92,bias=weekly|trend0|pat1|ret0|sess=london,weekly,False,True,False,london,107,0.234,-0.0,0.0,0.865,0.0,78
2,bias=off|trend0|pat0|ret0|sess=london,off,False,False,False,london,557,0.228,-0.001,0.0,0.863,0.0,79
132,bias=daily|trend0|pat1|ret0|sess=london,daily,False,True,False,london,148,0.22973,-0.000321,0.000634,0.8592,9996.79,80
1,bias=off|trend0|pat0|ret0|sess=asia,off,False,False,False,asia,545,0.231,-0.001,0.0,0.859,0.0,81
72,bias=pair|trend1|pat1|ret0|sess=london,pair,True,True,False,london,55,0.218,-0.0,0.0,0.856,0.0,82
94,bias=weekly|trend0|pat1|ret0|sess=overlap,weekly,False,True,False,overlap,62,0.226,-0.0,0.0,0.851,0.0,83
51,bias=pair|trend0|pat1|ret0|sess=asia,pair,False,True,False,asia,116,0.224,-0.0,0.0,0.842,0.0,84
75,bias=pair|trend1|pat1|ret0|sess=all,pair,True,True,False,all,121,0.223,-0.0,0.0,0.84,0.0,85
74,bias=pair|trend1|pat1|ret0|sess=overlap,pair,True,True,False,overlap,23,0.217,-0.0,0.0,0.833,0.0,86
102,bias=weekly|trend1|pat0|ret0|sess=london,weekly,True,False,False,london,163,0.233129,-0.00042,0.000918,0.831991,9995.8,87
11,bias=off|trend0|pat1|ret0|sess=asia,off,False,True,False,asia,276,0.221,-0.001,0.0,0.827,0.0,88
192,bias=4h|trend1|pat1|ret0|sess=london,4h,True,True,False,london,89,0.213483,-0.000241,0.001216,0.82567,9997.59,89
62,bias=pair|trend1|pat0|ret0|sess=london,pair,True,False,False,london,152,0.217,-0.0,0.0,0.815,0.0,90
82,bias=weekly|trend0|pat0|ret0|sess=london,weekly,False,False,False,london,319,0.219,-0.001,0.0,0.814,0.0,91
42,bias=pair|trend0|pat0|ret0|sess=london,pair,False,False,False,london,296,0.216,-0.001,0.0,0.813,0.0,92
122,bias=daily|trend0|pat0|ret0|sess=london,daily,False,False,False,london,396,0.214646,-0.001162,0.001648,0.811885,9988.38,93
32,bias=off|trend1|pat1|ret0|sess=london,off,True,True,False,london,133,0.211,-0.0,0.0,0.8,0.0,94
71,bias=pair|trend1|pat1|ret0|sess=asia,pair,True,True,False,asia,57,0.211,-0.0,0.0,0.8,0.0,95
171,bias=4h|trend0|pat1|ret0|sess=asia,4h,False,True,False,asia,170,0.211765,-0.000545,0.000803,0.795094,9994.55,96
131,bias=daily|trend0|pat1|ret0|sess=asia,daily,False,True,False,asia,156,0.211538,-0.000524,0.00079,0.786872,9994.76,97
111,bias=weekly|trend1|pat1|ret0|sess=asia,weekly,True,True,False,asia,68,0.205882,-0.00024,0.000569,0.777772,9997.6,98
112,bias=weekly|trend1|pat1|ret0|sess=london,weekly,True,True,False,london,55,0.2,-0.00022,0.001054,0.750195,9997.8,99
91,bias=weekly|trend0|pat1|ret0|sess=asia,weekly,False,True,False,asia,139,0.194,-0.001,0.0,0.729,0.0,100
6,bias=off|trend0|pat0|ret1|sess=asia,off,False,False,True,asia,0,0.0,0.0,0.0,0.0,0.0,101
7,bias=off|trend0|pat0|ret1|sess=london,off,False,False,True,london,0,0.0,0.0,0.0,0.0,0.0,102
8,bias=off|trend0|pat0|ret1|sess=newyork,off,False,False,True,newyork,0,0.0,0.0,0.0,0.0,0.0,103
